engine,scenario,scale_rows,run_idx,time_ms,output_rows,output_bytes,physical_size,file_count
splayed,PW1,20000000,0,9915.51,20000000,3120000000,1180779922,76
splayed,PR1,20000000,0,65.72,20000000,3120000000,1180779922,76
splayed,PR1,20000000,1,63.13,20000000,3120000000,1180779922,76
splayed,PR1,20000000,2,63.04,20000000,3120000000,1180779922,76
splayed,PR2,20000000,0,17.60,5000000,780000000,1180779922,76
splayed,PR2,20000000,1,17.65,5000000,780000000,1180779922,76
splayed,PR2,20000000,2,17.84,5000000,780000000,1180779922,76
splayed,PR3,20000000,0,39.86,10000000,1560000000,1180779922,76
splayed,PR3,20000000,1,34.51,10000000,1560000000,1180779922,76
splayed,PR3,20000000,2,34.67,10000000,1560000000,1180779922,76
splayed,PR4,20000000,0,0.52,5000,780000,1180779922,76
splayed,PR4,20000000,1,0.47,5000,780000,1180779922,76
splayed,PR4,20000000,2,0.47,5000,780000,1180779922,76
splayed,PR5,20000000,0,0.77,4,0,1180779922,76
splayed,PR5,20000000,1,0.77,4,0,1180779922,76
splayed,PR5,20000000,2,0.77,4,0,1180779922,76
duckdb,PW1,20000000,0,21878.7796999095,20000000,3120000000,1219604529,4
duckdb,PR1,20000000,0,144.05929995700717,20000000,3120000000,1219604529,4
duckdb,PR2,20000000,0,64.01289999485016,5000000,780000000,1219604529,4
duckdb,PR3,20000000,0,86.15009998902678,10000000,1560000000,1219604529,4
duckdb,PR4,20000000,0,26.693199994042516,5000,180000,1219604529,4
duckdb,PR5,20000000,0,5.300699966028333,4,0,1219604529,4
polars,PW1,20000000,0,35828.41219997499,20000000,3120000000,1212137146,4
polars,PR1,20000000,0,138.06720008142292,20000000,3120000000,1212137146,4
polars,PR2,20000000,0,34.38189998269081,5000000,780000000,1212137146,4
polars,PR3,20000000,0,235.62340007629246,10000000,1560000000,1212137146,4
polars,PR4,20000000,0,5.231700022704899,5000,180000,1212137146,4
polars,PR5,20000000,0,12.70930003374815,4,0,1212137146,4
