engine,variant,scenario,scale_rows,run_idx,time_ms,output_rows,output_bytes,physical_size,compression_ratio
splayed,1t,W1,1000000,0,7005.29,1000000,392000000,270958813,0.6912
splayed,1t,R1,1000000,0,17.85,1000000,392000000,270958813,0.6912
splayed,1t,R1,1000000,1,18.12,1000000,392000000,270958813,0.6912
splayed,1t,R1,1000000,2,17.90,1000000,392000000,270958813,0.6912
splayed,1t,R2,1000000,0,8.30,1000000,8000000,270958813,0.6912
splayed,1t,R2,1000000,1,8.19,1000000,8000000,270958813,0.6912
splayed,1t,R2,1000000,2,8.25,1000000,8000000,270958813,0.6912
splayed,1t,R3,1000000,0,4.25,100,3200,270958813,0.6912
splayed,1t,R3,1000000,1,4.25,100,3200,270958813,0.6912
splayed,1t,R3,1000000,2,4.26,100,3200,270958813,0.6912
splayed,1t,R4,1000000,0,5.81,10000,320000,270958813,0.6912
splayed,1t,R4,1000000,1,5.68,10000,320000,270958813,0.6912
splayed,1t,R4,1000000,2,5.75,10000,320000,270958813,0.6912
splayed,1t,R5,1000000,0,6.91,10000,320000,270958813,0.6912
splayed,1t,R5,1000000,1,7.15,10000,320000,270958813,0.6912
splayed,1t,R5,1000000,2,7.11,10000,320000,270958813,0.6912
splayed,1t,R6,1000000,0,4.21,1,8,270958813,0.6912
splayed,1t,R6,1000000,1,4.20,1,8,270958813,0.6912
splayed,1t,R6,1000000,2,4.21,1,8,270958813,0.6912
splayed,4t,W1,1000000,0,3745.48,1000000,392000000,270958813,0.6912
splayed,4t,R1,1000000,0,18.57,1000000,392000000,270958813,0.6912
splayed,4t,R1,1000000,1,18.63,1000000,392000000,270958813,0.6912
splayed,4t,R1,1000000,2,19.01,1000000,392000000,270958813,0.6912
splayed,4t,R2,1000000,0,8.37,1000000,8000000,270958813,0.6912
splayed,4t,R2,1000000,1,8.34,1000000,8000000,270958813,0.6912
splayed,4t,R2,1000000,2,8.39,1000000,8000000,270958813,0.6912
splayed,4t,R3,1000000,0,4.24,100,3200,270958813,0.6912
splayed,4t,R3,1000000,1,4.23,100,3200,270958813,0.6912
splayed,4t,R3,1000000,2,4.23,100,3200,270958813,0.6912
splayed,4t,R4,1000000,0,5.66,10000,320000,270958813,0.6912
splayed,4t,R4,1000000,1,5.74,10000,320000,270958813,0.6912
splayed,4t,R4,1000000,2,5.66,10000,320000,270958813,0.6912
splayed,4t,R5,1000000,0,7.00,10000,320000,270958813,0.6912
splayed,4t,R5,1000000,1,6.97,10000,320000,270958813,0.6912
splayed,4t,R5,1000000,2,6.95,10000,320000,270958813,0.6912
splayed,4t,R6,1000000,0,4.03,1,8,270958813,0.6912
splayed,4t,R6,1000000,1,4.11,1,8,270958813,0.6912
splayed,4t,R6,1000000,2,4.07,1,8,270958813,0.6912
parquet,1t,W1,1000000,0,5590.19,1000000,392000000,281456087,0.7180
parquet,1t,R1,1000000,0,1107.04,1000000,392000000,281456087,0.7180
parquet,1t,R1,1000000,1,1115.14,1000000,392000000,281456087,0.7180
parquet,1t,R1,1000000,2,1103.64,1000000,392000000,281456087,0.7180
parquet,1t,R2,1000000,0,13.00,1000000,8000000,281456087,0.7180
parquet,1t,R2,1000000,1,12.48,1000000,8000000,281456087,0.7180
parquet,1t,R2,1000000,2,12.47,1000000,8000000,281456087,0.7180
parquet,1t,R3,1000000,0,49.10,100,3200,281456087,0.7180
parquet,1t,R3,1000000,1,49.05,100,3200,281456087,0.7180
parquet,1t,R3,1000000,2,49.33,100,3200,281456087,0.7180
parquet,1t,R4,1000000,0,97.19,10000,320000,281456087,0.7180
parquet,1t,R4,1000000,1,98.54,10000,320000,281456087,0.7180
parquet,1t,R4,1000000,2,98.83,10000,320000,281456087,0.7180
parquet,1t,R5,1000000,0,18.76,10000,320000,281456087,0.7180
parquet,1t,R5,1000000,1,19.01,10000,320000,281456087,0.7180
parquet,1t,R5,1000000,2,18.84,10000,320000,281456087,0.7180
parquet,1t,R6,1000000,0,99.78,1,8,281456087,0.7180
parquet,1t,R6,1000000,1,68.90,1,8,281456087,0.7180
parquet,1t,R6,1000000,2,42.02,1,8,281456087,0.7180
splayed,1t,W1,5000000,0,25122.80,5000000,1960000000,1350533929,0.6890
splayed,1t,R1,5000000,0,35.59,5000000,1960000000,1350533929,0.6890
splayed,1t,R1,5000000,1,35.66,5000000,1960000000,1350533929,0.6890
splayed,1t,R1,5000000,2,35.52,5000000,1960000000,1350533929,0.6890
splayed,1t,R2,5000000,0,8.72,5000000,40000000,1350533929,0.6890
splayed,1t,R2,5000000,1,8.71,5000000,40000000,1350533929,0.6890
splayed,1t,R2,5000000,2,8.69,5000000,40000000,1350533929,0.6890
splayed,1t,R3,5000000,0,4.28,500,16000,1350533929,0.6890
